num_page,text,width,height,area,chars,char_size,pos_x,pos_y,aspect,layout,x0,x1,y0,y1,assureur,label
1,AA ,0.104201685,0.03567181999999999,0.0037170637510166994,3,0.0012390212503388999,0.1428571475,0.11533887999999999,2.921120509130177,h,0.090756305,0.19495799,0.09750297,0.09869203,axa-output-1-to-71,paragraphe
1,AXA SA ,0.24705885,0.035671799999999976,0.008813033885429995,7,0.0012590048407757136,0.568907575,0.36623068000000003,6.925886834978895,h,0.44537815,0.692437,0.34839478,0.34839478,axa-output-1-to-71,paragraphe
1,Rapport ,0.2134454,0.03448274999999995,0.00736018436684999,8,0.0009200230458562488,0.4159664,0.469084425,6.1899181474795455,h,0.3092437,0.5226891,0.45184305,0.45184305,axa-output-1-to-71,paragraphe
1,sur la Solvabilité ,0.4436975000000001,0.036860899999999974,0.01635508917774999,19,0.0008607941672499996,0.45210085,0.52259215,12.037077228174038,h,0.2302521,0.6739496,0.5077289,0.5041617,axa-output-1-to-71,paragraphe
1,et la Situation Financière ,0.6672269,0.030915550000000014,0.02062768658829501,27,0.0007639883921590744,0.47983195,0.585017825,21.58224259312869,h,0.1462185,0.8134454,0.56956005,0.56956005,axa-output-1-to-71,paragraphe
1,2022 ,0.12605042,0.02734839999999994,0.0034472773063279924,5,0.0006894554612655985,0.12184874,0.64982164,4.609060127831985,h,0.05882353,0.18487395,0.63614744,0.63614744,axa-output-1-to-71,inutile
1,AXA SA - SFCR 2022vf ,0.16806719999999997,0.01070150000000003,0.0017985711408000048,21,8.564624480000023e-05,0.8857143000000001,0.9030915500000001,15.705013315890248,h,0.8016807,0.9697479,0.8977408,0.89892983,axa-output-1-to-71,inutile
2,AXA SA  Rapport sur la Solvabilité et la Situation Financière 2022 ,0.45546219,0.010701546999999999,0.0048741500330079296,67,7.274850795534223e-05,0.49831934499999997,0.049346016500000006,42.560406453384736,h,0.27058825,0.72605044,0.045184303,0.043995243,axa-output-1-to-71,inutile
2,SYNTHESE ,0.0789916,0.008323424999999995,0.0006574806582299996,9,7.305340646999996e-05,0.15714286,0.0909631375,9.490275938090393,h,0.11764706,0.19663866,0.086801425,0.086801425,axa-output-1-to-71,inutile
2,A. ACTIVITÉ ET RÉSULTATS ,0.20672271,0.010701544999999993,0.0022122523835869487,25,8.849009534347795e-05,0.21932774500000002,0.1111771725,19.31709019585491,h,0.11596639,0.3226891,0.10701546,0.1058264,axa-output-1-to-71,titre
2,A.1 Activité . ,0.08739496,0.009512500000000007,0.0008313445570000005,15,5.54229704666667e-05,0.16134453999999998,0.13198573000000002,9.18738081471747,h,0.11764706,0.20504202,0.12841855,0.12722948,axa-output-1-to-71,inutile
2,/ Informations générales ,0.17310924000000003,0.010701529999999987,0.001852533725137198,25,7.410134900548792e-05,0.21932774,0.153983355,16.17612061079119,h,0.13277312,0.30588236,0.14863259,0.14863259,axa-output-1-to-71,titre
2,/ Informations sur la Société . ,0.20168068000000003,0.010701559999999999,0.0021582978978608,32,6.744680930815e-05,0.23361346,0.17419738,18.845914053651995,h,0.13277312,0.3344538,0.17003568,0.1688466,axa-output-1-to-71,titre
2,/ Principaux actionnaires et entreprises liées ,0.30924368999999996,0.009512489999999985,0.002941677508688095,47,6.258888316357648e-05,0.289075635,0.196195005,32.50922629090811,h,0.13445379,0.44369748,0.19143876,0.19143876,axa-output-1-to-71,titre
2,/ Présentation de l'activité ,0.18319328,0.00951247999999999,0.001742622412134398,29,6.0090428004634415e-05,0.22605042999999997,0.21640904,19.25820395943016,h,0.13445379,0.31764707,0.2116528,0.2116528,axa-output-1-to-71,titre
